Base26,Character
A,的
B,一
C,了
D,是
E,不
F,我
G,在
H,人
I,有
J,这
K,他
L,来
M,个
N,你
O,说
P,上
Q,到
R,就
S,着
T,大
U,们
V,道
W,那
X,么
Y,也
Z,地
AA,子
AB,下
AC,出
AD,时
AE,看
AF,要
AG,她
AH,中
AI,没
AJ,然
AK,里
AL,为
AM,过
AN,自
AO,好
AP,得
AQ,去
AR,可
AS,会
AT,天
AU,还
AV,心
AW,后
AX,以
AY,小
AZ,都
BA,和
BB,对
BC,想
BD,能
BE,起
BF,之
BG,手
BH,而
BI,只
BJ,生
BK,什
BL,身
BM,头
BN,样
BO,事
BP,多
BQ,己
BR,家
BS,面
BT,知
BU,开
BV,如
BW,无
BX,现
BY,很
BZ,点
CA,前
CB,发
CC,经
CD,情
CE,把
CF,老
CG,些
CH,话
CI,已
CJ,又
CK,声
CL,意
CM,于
CN,回
CO,笑
CP,所
CQ,但
CR,眼
CS,成
CT,方
CU,年
CV,见
CW,当
CX,女
CY,真
CZ,两
DA,力
DB,气
DC,从
DD,用
DE,长
DF,动
DG,间
DH,国
DI,走
DJ,让
DK,被
DL,给
DM,正
DN,问
DO,打
DP,明
DQ,儿
DR,法
DS,才
DT,几
DU,行
DV,三
DW,定
DX,此
DY,进
DZ,再
EA,种
EB,将
EC,实
ED,同
EE,最
EF,本
EG,向
EH,分
EI,十
EJ,学
EK,高
EL,第
EM,感
EN,怎
EO,神
EP,听
EQ,边
ER,作
ES,其
ET,吧
EU,却
EV,口
EW,觉
EX,啊
EY,因
EZ,白
FA,次
FB,军
FC,做
FD,外
FE,门
FF,光
FG,风
FH,主
FI,住
FJ,果
FK,与
FL,全
FM,二
FN,候
FO,公
FP,相
FQ,吗
FR,等
FS,别
FT,色
FU,死
FV,张
FW,部
FX,太
FY,日
FZ,少
GA,战
GB,理
GC,直
GD,重
GE,王
GF,像
GG,脸
GH,比
GI,快
GJ,何
GK,水
GL,名
GM,体
GN,呢
GO,东
GP,叫
GQ,西
GR,应
GS,便
GT,放
GU,马
GV,难
GW,轻
GX,更
GY,美
GZ,位
HA,关
HB,机
HC,接
HD,先
HE,文
HF,处
HG,并
HH,望
HI,常
HJ,完
HK,四
HL,飞
HM,师
HN,者
HO,安
HP,清
HQ,刚
HR,跟
HS,月
HT,信
HU,山
HV,爱
HW,内
HX,龙
HY,空
HZ,带
IA,找
IB,原
IC,入
ID,李
IE,连
IF,吃
IG,场
IH,平
II,思
IJ,林
IK,变
IL,使
IM,由
IN,受
IO,亲
IP,命
IQ,目
IR,强
IS,男
IT,任
IU,该
IV,路
IW,车
IX,今
IY,海
IZ,加
JA,远
JB,活
JC,特
JD,解
JE,电
JF,世
JG,性
JH,表
JI,许
JJ,它
JK,立
JL,黑
JM,金
JN,红
JO,花
JP,转
JQ,总
JR,算
JS,城
JT,队
JU,孩
JV,反
JW,工
JX,始
JY,满
JZ,新
KA,兵
KB,物
KC,离
KD,非
KE,虽
KF,云
KG,似
KH,万
KI,至
KJ,干
KK,通
KL,认
KM,失
KN,火
KO,哥
KP,士
KQ,五
KR,惊
KS,魔
KT,竟
KU,姐
KV,乎
KW,剑
KX,往
KY,量
KZ,早
LA,结
LB,怕
LC,流
LD,突
LE,坐
LF,斯
LG,音
LH,紧
LI,指
LJ,拉
LK,杀
LL,半
LM,记
LN,且
LO,利
LP,合
LQ,倒
LR,书
LS,度
LT,微
LU,步
LV,教
LW,喜
LX,越
LY,影
LZ,谁
MA,冷
MB,深
MC,告
MD,落
ME,象
MF,容
MG,怪
MH,传
MI,钱
MJ,提
MK,言
ML,随
MM,每
MN,双
MO,服
MP,击
MQ,武
MR,哪
MS,数
MT,站
MU,奇
MV,房
MW,管
MX,灵
MY,刻
MZ,题
NA,衣
NB,周
NC,静
ND,伤
NE,百
NF,拿
NG,妈
NH,办
NI,星
NJ,化
NK,功
NL,绝
NM,系
NN,般
NO,必
NP,业
NQ,尔
NR,件
NS,血
NT,代
NU,精
NV,弟
NW,终
NX,近
NY,条
NZ,青
OA,界
OB,司
OC,整
OD,欢
OE,字
OF,晚
OG,民
OH,帮
OI,切
OJ,即
OK,忙
OL,交
OM,或
ON,暗
OO,夫
OP,员
OQ,根
OR,石
OS,哈
OT,夜
OU,父
OV,制
OW,友
OX,阿
OY,息
OZ,冲
PA,酒
PB,保
PC,片
PD,形
PE,阵
PF,南
PG,决
PH,请
PI,各
PJ,报
PK,兴
PL,阳
PM,急
PN,语
PO,令
PP,错
PQ,及
PR,刘
PS,极
PT,识
PU,备
PV,慢
PW,雪
PX,苦
PY,若
PZ,领
QA,收
QB,底
QC,尽
QD,准
QE,华
QF,答
QG,众
QH,千
QI,消
QJ,视
QK,罗
QL,敢
QM,留
QN,克
QO,乐
QP,够
QQ,跑
QR,显
QS,嘴
QT,官
QU,断
QV,未
QW,势
QX,句
QY,求
QZ,计
RA,论
RB,达
RC,则
RD,害
RE,八
RF,单
RG,久
RH,脚
RI,德
RJ,元
RK,脑
RL,楚
RM,雨
RN,睛
RO,响
RP,刀
RQ,确
RR,玉
RS,沉
RT,北
RU,格
RV,停
RW,陈
RX,市
RY,朝
RZ,喝
SA,族
SB,江
SC,团
SD,母
SE,章
SF,装
SG,亮
SH,客
SI,照
SJ,乱
SK,易
SL,足
SM,依
SN,黄
SO,修
SP,破
SQ,台
SR,球
SS,呀
ST,院
SU,送
SV,包
SW,义
SX,诉
SY,攻
SZ,丝
TA,围
TB,玩
TC,待
TD,复
TE,况
TF,楼
TG,丽
TH,痛
TI,梦
TJ,呼
TK,摇
TL,期
TM,英
TN,低
TO,帝
TP,兄
TQ,背
TR,持
TS,爷
TT,皇
TU,七
TV,六
TW,穿
TX,杨
TY,政
TZ,运
UA,居
UB,叶
UC,热
UD,校
UE,谢
UF,曾
UG,古
UH,细
UI,产
UJ,睡
UK,希
UL,速
UM,室
UN,旁
UO,另
UP,怀
UQ,露
UR,异
US,写
UT,鬼
UU,娘
UV,取
UW,式
UX,除
UY,级
UZ,考
VA,建
VB,愿
VC,招
VD,饭
VE,布
VF,续
VG,程
VH,首
VI,观
VJ,朋
VK,务
VL,掉
VM,赶
VN,忽
VO,注
VP,术
VQ,甚
VR,差
VS,呵
VT,展
VU,争
VV,品
VW,兰
VX,宝
VY,香
VZ,斗
WA,故
WB,雷
WC,念
WD,段
WE,顿
WF,角
WG,疑
WH,护
WI,闪
WJ,木
WK,需
WL,调
WM,类
WN,妹
WO,爸
WP,线
WQ,左
WR,游
WS,派
WT,谈
WU,激
WV,冰
WW,敌
WX,跳
WY,支
WZ,约
XA,巴
XB,您
XC,顾
XD,肯
XE,醒
XF,铁
XG,抱
XH,淡
XI,造
XJ,伙
XK,资
XL,群
XM,集
XN,联
XO,商
XP,号
XQ,节
XR,讲
XS,掌
XT,赵
XU,密
XV,九
XW,病
XX,卫
XY,米
XZ,威
YA,继
YB,渐
YC,统
YD,追
YE,亚
YF,简
YG,练
YH,基
YI,选
YJ,推
YK,改
YL,退
YM,味
YN,份
YO,举
YP,示
YQ,忍
YR,历
YS,器
YT,恐
YU,引
YV,试
YW,皮
YX,习
YY,靠
YZ,导
ZA,存
ZB,莫
ZC,志
ZD,区
ZE,汉
ZF,右
ZG,严
ZH,态
ZI,买
ZJ,幸
ZK,社
ZL,佛
ZM,议
ZN,树
ZO,止
ZP,块
ZQ,守
ZR,毛
